 27-04-2024 21:53:57, GPU temperature     ,GPU usage (%)          ,Memory usage  (%)    ,Power percent  (%)   ,Power (W)     ,Fan speed (%)       ,Fan tachometer(RPM)   ,CPU temperature  (C )   ,CPU usage (%)        ,CPU power (W)         ,Framerate (FPS)         ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 22:06:24,55,83,5818.832,62,104.169,55,1372,100,100,17.304,40.7,20.8,23.1,23.6
 27-04-2024 22:06:25,57,100,5818.504,71,112.431,55,1377,100,100,16.817,44.9,20.8,23.1,23.6
 27-04-2024 22:06:26,57,100,5830.348,70,97.414,55,1378,100,97.14,16.694,40.3,20.8,23.1,23.6
 27-04-2024 22:06:27,57,99,5823.707,68,102.535,55,1378,100,83.632,17.252,41.6,20.8,23.1,23.6
 27-04-2024 22:06:28,57,92,5831.691,67,98.036,55,1369,100,100,17.2,44.8,20.8,23.1,23.6
 27-04-2024 22:06:29,57,95,5819.316,65,104.256,56,1378,100,100,17.257,49.3,20.8,23.1,23.6
 27-04-2024 22:06:30,57,97,5831.66,69,98.517,56,1371,100,100,16.707,46.7,20.8,23.1,23.6
 27-04-2024 22:06:31,57,92,5810.051,67,105.601,56,1380,100,100,16.64,43.7,20.8,23.1,23.6
 27-04-2024 22:06:32,56,95,5818.926,46,99.594,56,1375,100,100,16.714,44.7,20.8,23.1,23.6
 27-04-2024 22:06:33,57,94,5813.316,71,104.113,56,1385,100,100,17.48,46.7,20.8,23.1,23.6
 27-04-2024 22:06:34,58,100,5813.473,73,106.311,56,1388,100,99.991,16.937,42.9,20.8,23.1,23.6
 27-04-2024 22:06:35,58,100,5813.473,75,98.293,56,1397,100,99.99,17.096,43.2,20.8,23.1,23.6
 27-04-2024 22:06:36,58,98,5813.629,73,116.09,56,1397,100,98.525,16.588,42.3,20.8,23.1,23.6
 27-04-2024 22:06:37,58,97,5813.629,70,99.345,56,1395,100,86.89,16.849,42.2,20.8,23.1,23.6
 27-04-2024 22:06:38,57,94,5835.41,70,102.974,56,1397,100,100,16.77,44.7,20.8,23.1,23.6
 27-04-2024 22:06:39,58,97,5823.41,67,106.315,56,1392,100,98.772,16.847,50.2,20.8,23.1,23.6
 27-04-2024 22:06:40,58,100,5813.723,71,106.437,56,1397,100,85.156,17.285,46.2,20.8,23.1,23.6
 27-04-2024 22:06:41,57,100,5820.223,69,96.326,56,1399,100,100,16.72,39.2,20.8,23.1,23.6
 27-04-2024 22:06:42,57,96,5830.77,69,107.074,56,1395,100,100,16.241,49.6,20.8,23.1,23.6
